,Model,Dataset,Metric,Mean,Std
364,GCNRegressor,region_job_2_r,MSE,0.027237236499786377,0.0
365,GINRegressor,region_job_2_r,MSE,0.013866841793060303,0.0
366,GraphSAGERegressor,region_job_2_r,MSE,0.005995884537696838,0.0
367,MLPRegressor,region_job_2_r,MSE,0.0071109868586063385,0.0
368,FMP,region_job_g,MSE,0.0003151893615722656,0.0
369,FairGNN,region_job_g,MSE,0.25333556878107266,0.0
370,FairRegGNN,region_job_g,MSE,0.007204335182905197,0.0
371,GATRegressor,region_job_g,MSE,0.008179664611816406,0.0
372,GCNRegressor,region_job_g,MSE,0.00028187036514282227,0.0
373,GINRegressor,region_job_g,MSE,0.01308418158441782,0.0
374,GraphSAGERegressor,region_job_g,MSE,0.0011768937110900879,0.0
375,MLPRegressor,region_job_g,MSE,0.001677870750427246,0.0
376,FMP,region_job_r,MSE,0.00472685694694519,0.0
377,FairGNN,region_job_r,MSE,0.060400545597076416,0.0
378,FairRegGNN,region_job_r,MSE,0.01013556495308876,0.0
379,GATRegressor,region_job_r,MSE,6.48200511932373e-05,0.0
380,GCNRegressor,region_job_r,MSE,0.008390635251998901,0.0
381,GINRegressor,region_job_r,MSE,0.01096200942993164,0.0
382,GraphSAGERegressor,region_job_r,MSE,0.003651062026619911,0.0
383,MLPRegressor,region_job_r,MSE,0.003020666539669037,0.0
384,FMP,german_e,MSE Gap,0.2634406089782715,0.0
385,FairGNN,german_e,MSE Gap,0.04261660575866699,0.0
386,FairRegGNN,german_e,MSE Gap,0.06193244457244873,0.0
387,GATRegressor,german_e,MSE Gap,0.24556575409137343,0.0
388,GCNRegressor,german_e,MSE Gap,0.26633793115615845,0.0
389,GINRegressor,german_e,MSE Gap,0.1993905285639143,0.0
390,GraphSAGERegressor,german_e,MSE Gap,0.3744993741156264,0.0
391,MLPRegressor,german_e,MSE Gap,0.3269135057926178,0.0
392,FMP,german_f,MSE Gap,0.2337293028831482,0.0
393,FairGNN,german_f,MSE Gap,0.04025298357009888,0.0
394,FairRegGNN,german_f,MSE Gap,0.04894651845097542,0.0
395,GATRegressor,german_f,MSE Gap,0.23246210904214604,0.0
396,GCNRegressor,german_f,MSE Gap,0.23585245107452918,0.0
397,GINRegressor,german_f,MSE Gap,0.36337679624557495,0.0
398,GraphSAGERegressor,german_f,MSE Gap,0.350679350866005,0.0
399,MLPRegressor,german_f,MSE Gap,0.3782901167869568,0.0
400,FMP,german_g,MSE Gap,0.22324997186660767,0.0
401,FairGNN,german_g,MSE Gap,0.030034244060516357,0.0
402,FairRegGNN,german_g,MSE Gap,0.04751473665237427,0.0
403,GATRegressor,german_g,MSE Gap,0.26445855647068234,0.0
404,GCNRegressor,german_g,MSE Gap,0.26318200518900847,0.0
405,GINRegressor,german_g,MSE Gap,0.3613760257262151,0.0
406,GraphSAGERegressor,german_g,MSE Gap,0.35780829191207886,0.0
407,MLPRegressor,german_g,MSE Gap,0.3256308436393738,0.0
408,FMP,german_h,MSE Gap,0.21457046270370483,0.0
409,FairGNN,german_h,MSE Gap,0.047367990016937256,0.0
410,FairRegGNN,german_h,MSE Gap,0.05508536100387573,0.0
411,GATRegressor,german_h,MSE Gap,0.2501441725247209,0.0
412,GCNRegressor,german_h,MSE Gap,0.2424269435582876,0.0
413,GINRegressor,german_h,MSE Gap,0.2735530365588169,0.0
414,GraphSAGERegressor,german_h,MSE Gap,0.3448633551597595,0.0
415,MLPRegressor,german_h,MSE Gap,0.38176181574095014,0.0
416,FMP,german_s,MSE Gap,0.25034981966018677,0.0
