,Model,Dataset,MMD,RepBias,MeanDiff,MAE Gap,MSE Gap,Wasserstein,JS Divergence
89,FMP,region_job_2_r,,,0.086445116,0.013677895,0.011593819,0.0866302598570405,0.4190965512314446
90,FairGNN,region_job_2_r,0.01069486141204834,0.0,1.2733645,0.24542356,0.46934307,1.2797869512165874,0.7549859893337688
91,FairRegGNN,region_job_2_r,0.008318603038787842,0.010035306964352505,0.039542258,0.016504735,0.028074697,0.043649324531959716,0.4220232973542871
92,GATRegressor,region_job_2_r,,,0.15312745,0.006890416,0.0043432117,0.15339288710302548,0.0911715779297459
93,GCNRegressor,region_job_2_r,,,0.14564255,0.030461669,0.036661983,0.14614357623714663,0.23051183199973474
94,GINRegressor,region_job_2_r,,,0.15772845,0.024687707,0.013912857,0.1577284387465952,0.18173213728737406
95,GMMD,region_job_2_r,,,0.119463354,0.0012238622,0.015586793,0.11951240561893706,0.12287225448508084
96,GraphSAGERegressor,region_job_2_r,,,0.13855357,0.0013622642,0.013523519,0.1386077330880722,0.15160047944421068
97,MLPRegressor,region_job_2_r,,,0.13019684,0.0005492568,0.018758833,0.13023096760427774,0.08104520238907753
98,FMP,region_job_g,,,0.014048291,0.0006528497,0.0003144145,0.016068976392577025,0.4240062380052874
99,FairGNN,region_job_g,0.006248116493225098,0.0,0.64637244,0.12428033,0.4138292,0.6463724112751342,0.8210442216549872
100,FairRegGNN,region_job_g,0.004449516534805298,0.003533122059574817,0.009839639,0.002567798,0.012312055,0.013424315247211608,0.46925988779324396
101,GATRegressor,region_job_g,,,0.03261531,0.009331882,0.011376798,0.03280126408334371,0.2637074788266933
102,GCNRegressor,region_job_g,,,0.022955878,0.0004426241,0.0002835393,0.02509075922508051,0.12728492964900395
103,GINRegressor,region_job_g,,,0.013084196,0.021057367,0.02597037,0.025077119849073876,0.44506446182742654
104,GMMD,region_job_g,,,0.026582647,0.005974889,0.011403203,0.02805021736474475,0.037362713806973744
